# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar  9 15:43:57 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_massj not null)
# CONSTRAINT:  order by pl_controv_flag desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_locale:    Discovery Locale
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Space,Kepler,0,416.00000000,2.00000000,-2.00000000,0,,,,,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,,,,,,,,,,0.48,0.03,-0.03,0,,,,,396.3320000,6.3885000,-6.3885000,12.1376000,0.0036870,-0.0036870
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,Ground,W. M. Keck Observatory,0,7336.50000000,1934.50000000,-584.00000000,0,0.920,0.390,-0.360,0,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,2075,70,-70,0,M8.5,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,,,,,,,,17.3961000,0.0048610,-0.0048610
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Ground,Haute-Provence Observatory,0,4.23100000,,,0,,,,,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,,,,,,,,,,1.04,,,0,,,,,15.4614000,0.0297000,-0.0297000,5.2864700,0.0027680,-0.0027680
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,0,14.60000000,,,0,,,,,254.25000,,,0,0.80000,,,0,700,,,0,K0 IV-V,,,,,,,,,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,0,14.46531400,0.00090000,-0.00095000,0,,,,,266.96600,41.63400,-9.85200,0,0.84000,0.13100,-0.03100,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,0,14.65152000,0.00015000,-0.00015000,0,,,,,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,,,,,,,,,,0.95,,,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,44.41750000,0.00730000,-0.00730000,0,,,,,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,,,,,,,,,,0.95,,,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,44.37300000,0.02000000,-0.01800000,0,,,,,56.69850,8.74000,-2.47900,0,0.17840,0.02750,-0.00780,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,0,4825.00000000,39.00000000,-39.00000000,0,,,,,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,,,,,,,,,,0.95,,,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,0,4867.00000000,25.00000000,-26.00000000,0,,,,,1226.77000,190.69000,-47.67000,0,3.86000,0.60000,-0.15000,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73700000,,,0,0.169,0.004,-0.004,0,7.74000,0.37000,-0.30000,0,0.02435,0.00116,-0.00094,0,,,,,,5172.00,18.00,-18.00,0,0.87,0.05,-0.04,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73655150,0.00000150,-0.00000150,0,,,,,8.13928,0.23201,-0.23201,0,0.02561,0.00073,-0.00073,0,,,,,,,,,,0.95,,,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73654780,0.00000160,-0.00000120,0,,,,,8.09479,0.26061,-0.25743,0,0.02547,0.00082,-0.00081,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73654000,0.00000300,-0.00000300,0,0.178,0.012,-0.012,0,8.63000,0.35000,-0.35000,0,0.02700,0.00100,-0.00100,0,,,,,G8 V,,,,,0.96,0.05,-0.03,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73654370,0.00000520,-0.00000520,0,0.186,0.014,-0.015,0,7.81000,0.58000,-0.53000,0,0.02457,0.00182,-0.00167,0,1958,15,-15,0,,5234.00,30.00,-30.00,0,0.91,0.01,-0.01,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73654600,0.00000300,-0.00000300,0,0.194,0.009,-0.009,0,8.37000,0.38000,-0.38000,0,0.02600,0.00100,-0.00100,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73654740,0.00000130,-0.00000140,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,,,,,,5172.00,18.00,-18.00,0,0.91,0.01,-0.01,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
